context,description,mentioned_groups
B23,"preparation or pretreatment of the material to be shaped; making granules or preforms; recovery of plastics or other constituents of waste material containing plastics; shaping or joining of plastics; shaping of material in a plastic state, not otherwise provided for; after-treatment of the shaped products, e.g. repairing ; producing particular articles from plastics or from substances in a plastic state ; indexing scheme associated with subclasses b29b, b29c or b29d, relating to moulding materials or to materials for {moulds, } reinforcements, fillers or preformed parts, e.g. inserts; indexing scheme associated with subclass b29c, relating to particular articles; presses; presses in general {}; making articles of paper, cardboard or material worked in a manner analogous to paper; working paper, cardboard or material worked in a manner analogous to paper; making containers of paper, cardboard or material worked in a manner analogous to paper ; making wound articles, e.g. wound tubes, of paper, cardboard or material worked in a manner analogous to paper; making articles of paper, cardboard or material worked in a manner analogous to paper, not provided for in subclasses b31b or b31c ; mechanical working or deformation of paper, cardboard or material worked in a manner analogous to paper ; layered products; layered products, i.e. products built-up of strata of flat or non-flat, e.g. cellular or honeycomb, form; additive manufacturing technology; additive manufacturing, i.e. manufacturing of three-dimensional  objects by additive deposition, additive agglomeration or additive layering, e.g. by 3-d printing, stereolithography or selective laser sintering; printing; printing; lining machines; typewriters; stamps; machines or accessories for making, setting, or distributing type; type; photographic or photoelectric composing devices ; processes for the manufacture or reproduction of printing surfaces ","{'D21', 'B27', 'G03', 'B01', 'B29', 'B32', 'B65', 'B31'}"
B24,"apparatus for the mechanical reproduction of printing surfaces for stereotype printing; shaping elastic or deformable material to form printing surfaces ; printing machines or presses ; apparatus for bronze printing, line printing, or for bordering or edging sheets or like articles; auxiliary for perforating in conjunction with printing ; typewriters; selective printing mechanisms, {e.g. ink-jet printers, thermal printers}, i.e. mechanisms printing otherwise than from a forme; correction of typographical errors ; stamps; stamping or numbering apparatus or devices ; apparatus or devices for manifolding, duplicating or printing for office or other commercial purposes; addressing machines or like series-printing machines ; printing, duplicating, marking, or copying processes; colour printing, ; printing plates or foils ; materials for surfaces used in printing machines for printing, inking, damping, or the like; preparing such surfaces for use and conserving them","{'B41', 'G07', 'C09', 'C25', 'B23', 'B44', 'G03', 'H03', 'B26', 'H01', 'C23', 'G06', 'A22', 'D06', 'G01', 'B43', 'H04', 'B65'}"
B25,"indexing scheme relating to printing, lining machines, typewriters, and to stamps; bookbinding; albums; files; special printed matter; permanently attaching together sheets, quires or signatures or permanently attaching objects thereto ; bookbinding ; books; book covers; loose leaves; printed matter characterised by identification or security features; printed matter of special format or style not otherwise provided for; devices for use therewith and not otherwise provided for; movable-strip writing or reading apparatus; sheets temporarily attached together; filing appliances; file cards; indexing ; indexing scheme relating to books, filing appliances or the like; writing or drawing implements; bureau accessories; implements for writing or drawing ; articles for writing or drawing upon; {writing or drawing aids;} accessories for writing or drawing ; bureau accessories not otherwise provided for ; decorative arts; machines, apparatus or tools for artistic work, e.g. for sculpturing, guilloching, carving, branding, inlaying ; producing decorative effects ; mosaics; tarsia work ; paperhanging {}; painting or artistic drawing, not otherwise provided for; preserving paintings; surface treatment to obtain special artistic surface effects or finishes ; special designs or pictures","{'B41', 'A47', 'B25', 'G09', 'C14', 'B29', 'A45', 'B05', 'B27', 'B42', 'B31', 'B44', 'B26'}"
B26,"transporting; vehicles in general; vehicle wheels ; castors; axles for wheels or castors; increasing wheel adhesion; vehicle tyres; tyre inflation; tyre changing; connecting valves to inflatable elastic bodies in general; devices or arrangements related to tyres; vehicle connections ; vehicles for use both on rail and on road; amphibious or like vehicles; convertible vehicles ; vehicle suspension arrangements ; arrangements of heating, cooling, ventilating or other air-treating devices specially adapted for passenger or goods spaces of vehicles","{'B60', 'B21', 'B62'}"
B27,"windows, windscreens, non-fixed roofs, doors, or similar devices for vehicles; removable external protective coverings specially adapted for vehicles ; arrangement or mounting of propulsion units or of transmissions in vehicles; arrangement or mounting of plural diverse prime-movers in vehicles; auxiliary drives for vehicles; instrumentation or dashboards for vehicles; arrangements in connection with cooling, air intake, gas exhaust or fuel supply of propulsion units in vehicles; propulsion of electrically-propelled vehicles ; supplying electric power for auxiliary equipment of electrically-propelled vehicles ; electrodynamic brake systems for vehicles in general ; magnetic suspension or levitation for vehicles; monitoring operating variables of electrically-propelled vehicles; electric safety devices for electrically-propelled vehicles; power supply lines, and devices along rails, for electrically- propelled vehicles ; seats specially adapted for vehicles; vehicle passenger accommodation not otherwise provided for; vehicles adapted for load transportation or to transport, to carry, or to comprise special loads or objects ; arrangement of signalling or lighting devices, the mounting or supporting thereof or circuits therefor, for vehicles in general; vehicles, vehicle fittings, or vehicle parts, not otherwise provided for; servicing, cleaning, repairing, supporting, lifting, or manoeuvring of vehicles, not otherwise provided for; vehicle brake control systems or parts thereof; brake control systems or parts thereof, in general ; arrangement of braking elements on vehicles in general; portable devices for preventing unwanted movement of vehicles; vehicle modifications to facilitate cooling of brakes; air-cushion vehicles; conjoint control of vehicle sub-units of different type or different function; control systems specially adapted for hybrid vehicles; road vehicle drive control systems for purposes not related to the control of a particular sub-unit; indexing scheme relating to aspects cross-cutting vehicle technology; railways; railway systems; equipment therefor not otherwise provided for ; locomotives; motor railcars ; body details or kinds of railway vehicles ; rail vehicle suspensions, e.g. underframes, bogies or arrangements of wheel axles; rail vehicles for use on tracks of different width; preventing derailing of rail vehicles; wheel guards, obstruction removers or the like for rail vehicles ; couplings; draught and buffing appliances ; brakes or other retarding devices specially adapted for rail vehicles; arrangement or disposition thereof in rail vehicles ; shifting or shunting of rail vehicles ; auxiliary equipment specially adapted for railways, not otherwise provided for ; guiding railway traffic; ensuring the safety of railway traffic ; land vehicles for travelling otherwise than on rails","{'E05', 'B61', 'B60', 'G05', 'F16', 'A61', 'G02', 'H02', 'H04', 'B66', 'E01'}"
B28,"hand-propelled vehicles, e.g. hand carts or perambulators; sledges ; vehicles drawn by animals; motor vehicles; trailers ; cycle stands; supports or holders for parking or storing cycles; appliances preventing or indicating unauthorized use or theft of cycles; locks integral with cycles; devices for learning to ride cycles; cycle saddles or seats; auxiliary devices or accessories specially adapted to cycles and not otherwise provided for, e.g. article carriers or cycle protectors; cycles; cycle frames; cycle steering devices; rider-operated terminal controls specially adapted for cycles; cycle axle suspensions; cycle side-cars, forecars, or the like; brakes specially adapted for cycles {}; rider propulsion of wheeled vehicles or sledges; powered propulsion of sledges or {single-track} cycles; transmissions specially adapted for such vehicles ","{'A01', 'B60', 'G01', 'B62', 'F16'}"
B29,"ships or other waterborne vessels; related equipment; ships or other waterborne vessels; equipment for shipping  ; launching, hauling-out, or dry-docking of vessels; life-saving in water; equipment for dwelling or working under water; means for salvaging or searching for underwater objects ; offensive or defensive arrangements on vessels; mine-laying; mine-sweeping; submarines; aircraft carriers ; marine propulsion or steering ; auxiliaries on vessels; aircraft; aviation; cosmonautics; lighter-than air aircraft; aeroplanes; helicopters ; equipment for fitting in or to aircraft; flying suits; parachutes; arrangements or mounting of power plants or propulsion transmissions in aircraft; ground or aircraft-carrier-deck installations specially adapted for use in connection with aircraft; designing, manufacturing, assembling, cleaning, maintaining or repairing aircraft, not otherwise provided for; handling, transporting, testing or inspecting aircraft components, not otherwise provided for; cosmonautics; vehicles or equipment therefor ","{'B63', 'B60', 'E21', 'E02', 'F41', 'F42'}"
B30,"conveying; packing; storing; handling thin or filamentary material; machines, apparatus or devices for, or methods of, packaging articles or materials; unpacking ; labelling or tagging machines, apparatus, or processes {}; containers for storage or transport of articles or materials, e.g. bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages","{'B67', 'B41', 'B25', 'B27', 'B65', 'G09', 'A24'}"
B31,"gathering or removal of domestic or like refuse ; transport or storage devices, e.g. conveyors for loading or tipping, shop conveyor systems or pneumatic tube conveyors ; handling thin or filamentary material, e.g. sheets, webs, cables; hoisting; lifting; hauling; elevators; escalators or moving walkways ; cranes; load-engaging elements or devices for cranes, capstans, winches, or tackles ; capstans; winches; tackles, e.g. pulley blocks; hoists ; hoisting, lifting, hauling or pushing, not otherwise provided for, e.g. devices which apply a lifting or pushing force directly to the surface of a load ; opening, closing {or cleaning} bottles, jars or similar containers; liquid handling; applying closure members to bottles jars, or similar containers; opening closed containers ","{'B07', 'C10', 'F23', 'B03', 'B02', 'G21', 'E03', 'B62', 'E02', 'F41', 'E04', 'B66', 'B61', 'B67', 'F17', 'A61', 'E06', 'B63', 'E21', 'A63', 'C05', 'B65'}"
B32,"cleaning, filling with liquids or semiliquids, or emptying, of bottles, jars, cans, casks, barrels, or similar containers, not otherwise provided for; funnels; dispensing, delivering or transferring liquids, not otherwise provided for ; saddlery; upholstery; harness; devices used in connection therewith; whips or the like","{'B67', 'G07', 'G01', 'E03', 'F17', 'B08', 'F24'}"
